<seq id>        <alignment start>       <alignment end>     <envelope start>        <envelope end>  <hmm acc>       <hmm name>          <type>  <hmm start>     <hmm end>       <hmm length>    <bit score>               <E-value>       <significance>  <clan>
ADAR1   886     1215    886     1215    PF02137.17      A_deamin        Family  1       325     None    354.9   4.4e-106        1       None
ADAR1   135     200     135     201     PF02295.16      z-alpha Domain  1       66      None    98.5    1.5e-28 1       None
ADAR1   295     358     295     359     PF02295.16      z-alpha Domain  1       66      None    92.2    1.4e-26 1       None
ADAR1   504     567     504     569     PF00035.25      dsrm    Domain  1       65      None    45.4    9.4e-12 1       None
ADAR1   615     680     615     680     PF00035.25      dsrm    Domain  1       67      None    35.7    9.7e-09 1       None
ADAR1   729     792     727     792     PF00035.25      dsrm    Domain  3       67      None    34.9    1.7e-08 1       None
AGO1    34      164     34      164     PF16486.4       ArgoN   Domain  1       140     None    101.6   5.2e-29 1       None
AGO1    427     508     427     509     PF16487.4       ArgoMid Domain  1       83      None    117.2   2.7e-34 1       None
AGO1    372     418     372     418     PF16488.4       ArgoL2  Family  1       47      None    58.0    8.2e-16 1       None
AGO1    238     363     229     363     PF02170.21      PAZ     Domain  10      137     None    101.7   2.5e-29 1       None
AGO1    515     815     515     816     PF02171.16      Piwi    Family  1       300     None    365.0   2.6e-109        1       None
AGO1    174     224     174     224     PF08699.9       ArgoL1  Domain  1       51      None    81.1    3e-23   1       None
AGO2    36      166     36      166     PF16486.4       ArgoN   Domain  1       140     None    108.5   3.9e-31 1       None
AGO2    429     510     429     511     PF16487.4       ArgoMid Domain  1       83      None    112.6   7.1e-33 1       None
AGO2    374     420     374     420     PF16488.4       ArgoL2  Family  1       47      None    49.0    5.2e-13 1       None
AGO2    244     365     231     365     PF02170.21      PAZ     Domain  8       137     None    96.1    1.4e-27 1       None
AGO2    518     817     517     818     PF02171.16      Piwi    Family  2       300     None    380.3   5.8e-114        1       None
AGO2    176     226     176     226     PF08699.9       ArgoL1  Domain  1       51      None    75.7    1.5e-21 1       None
AGO4    26      155     26      156     PF16486.4       ArgoN   Domain  1       139     None    105.5   3.2e-30 1       None
AGO4    421     501     421     503     PF16487.4       ArgoMid Domain  1       82      None    112.0   1.1e-32 1       None
AGO4    364     412     364     412     PF16488.4       ArgoL2  Family  1       47      None    55.6    4.5e-15 1       None
AGO4    233     355     221     355     PF02170.21      PAZ     Domain  8       137     None    99.7    1.1e-28 1       None
AGO4    509     819     509     820     PF02171.16      Piwi    Family  1       300     None    347.1   7.4e-104        1       None
AGO4    166     216     166     216     PF08699.9       ArgoL1  Domain  1       51      None    79.1    1.2e-22 1       None
ALKBH5  119     277     90      311     PF13532.5       2OG-FeII_Oxy_2  Domain  28      184     None    39.5    6.5e-10 1       None
ATXN2   910     925     909     926     PF07145.14      PAM2    Motif   2       17      None    25.9    4.3e-06 1       None
ATXN2   409     476     409     476     PF06741.12      LsmAD   Domain  1       70      None    58.4    7.3e-16 1       None
ATXN2   265     341     265     341     PF14438.5       SM-ATX  Domain  1       81      None    75.6    2.3e-21 1       None
C17ORF85        123     176     123     177     PF10309.8       NCBP3   Family  1       58      None    71.9    2.6e-20 1       None
C22ORF28        68      505     68      505     PF01139.16      RtcB    Family  1       412     None    487.5   3.6e-146        1       None
CAPRIN1 359     685     359     685     PF12287.7       Caprin-1_C      Family  1       331     None    464.2   4.2e-139        1       None
CELF1   19      84      18      88      PF00076.21      RRM_1   Domain  2       64      None    49.8    2.1e-13 1       None
CELF1   110     174     110     178     PF00076.21      RRM_1   Domain  1       64      None    56.0    2.4e-15 1       None
CELF1   403     473     403     473     PF00076.21      RRM_1   Domain  1       70      None    65.9    2e-18   1       None
CPEB1   310     410     310     410     PF16367.4       RRM_7   Domain  1       94      None    118.0   1.4e-34 1       None
CPEB1   1       307     1       307     PF16368.4       CEBP1_N Family  1       307     None    523.2   2.2e-157        1       None
CPEB1   502     559     502     559     PF16366.4       CEBP_ZZ Domain  1       61      None    84.0    5.6e-24 1       None
DDX21   436     532     425     532     PF00271.30      Helicase_C      Family  14      111     None    101.0   4.3e-29 1       None
DDX21   210     380     210     385     PF00270.28      DEAD    Domain  1       171     None    159.7   5.3e-47 1       None
DDX21   620     715     620     715     PF08152.11      GUCT    Domain  1       96      None    105.4   1.3e-30 1       None
DGCR8   514     576     512     576     PF00035.25      dsrm    Domain  3       67      None    48.2    1.2e-12 1       None
DGCR8   620     684     620     684     PF00035.25      dsrm    Domain  1       67      None    23.0    9.4e-05 1       None
EIF3A   366     494     365     495     PF01399.26      PCI     Domain  2       104     None    83.7    1.1e-23 1       None
EIF3B   507     702     507     702     PF08662.10      eIF2A   Family  1       194     None    223.9   1.5e-66 1       None
EIF3B   207     257     202     260     PF00076.21      RRM_1   Domain  15      66      None    31.0    1.5e-07 1       None
EIF3D   4       521     4       521     PF05091.11      eIF-3_zeta      Family  1       520     None    723.5   1.6e-217        1       None
EIF3G   241     304     241     310     PF00076.21      RRM_1   Domain  1       63      None    66.0    1.9e-18 1       None
EIF3G   60      175     56      175     PF12353.7       eIF3g   Family  5       125     None    146.2   5.8e-43 1       None
EIF4A3  264     372     263     372     PF00271.30      Helicase_C      Family  2       111     None    108.2   2.5e-31 1       None
